year,fishery,area,t
1986,3,1,3741.62
1987,3,1,1613.92
1988,3,1,6236.19
1989,3,1,7004.63
1990,3,1,3415.73
1991,3,1,5309.95
1992,3,1,821.019
1993,3,1,4109.59
1994,3,1,7858.5
1995,3,1,6908.89
1996,3,1,12285.8
1997,3,1,4971.95
1998,3,1,7364.5
1999,3,1,2211.05
2000,3,1,7939
2001,3,1,10221.7
2002,3,1,6163.88
2003,3,1,6972.74
2004,3,1,7785.25
2005,3,1,9665.52
2006,3,1,13366.9
2007,3,1,12566.5
2008,3,1,19771
2009,3,1,27311.7
2010,3,1,26831.2
2011,3,1,14451.5
2012,3,1,16081.6
2013,3,1,16921.4
2014,3,1,8788.24
2015,3,1,2892.85
2016,3,1,4607.91
2017,3,1,19390.5
2018,3,1,16571.9
2019,3,1,10636.9
2020,3,1,10803.6
2021,3,1,9727.89
2022,3,1,12552.6
1954,4,1,30.4733
1955,4,1,752.283
1956,4,1,1075.09
1957,4,1,4882.55
1958,4,1,4958.16
1959,4,1,7579.02
1960,4,1,6253.83
1961,4,1,7271.03
1962,4,1,7776.73
1963,4,1,13514.9
1964,4,1,5082.08
1965,4,1,8340.59
1966,4,1,10984
1967,4,1,11410.5
1968,4,1,10485.4
1969,4,1,5431.07
1970,4,1,7963.8
1971,4,1,10675.6
1972,4,1,9591.15
1973,4,1,8520.5
1974,4,1,5997.78
1975,4,1,5453.12
1976,4,1,5254.53
1977,4,1,10677.1
1978,4,1,7012.42
1979,4,1,5334.04
1980,4,1,3642.1
1981,4,1,5607.07
1982,4,1,7347.61
1983,4,1,4032.28
1984,4,1,5362.09
1985,4,1,3859.01
1986,4,1,3948.21
1987,4,1,3471.06
1988,4,1,4346.56
1989,4,1,3024.54
1990,4,1,2304.12
1991,4,1,4800.2
1992,4,1,5656.86
1993,4,1,3102.68
1994,4,1,3670.1
1995,4,1,1832.33
1996,4,1,1532.84
1997,4,1,3173.09
1998,4,1,4717.89
1999,4,1,2647.31
2000,4,1,1722.58
2001,4,1,1826.04
2002,4,1,5358.46
2003,4,1,4466.48
2004,4,1,3299.27
2005,4,1,1739.35
2006,4,1,2256.45
2007,4,1,3286.84
2008,4,1,1602.18
2009,4,1,5739.14
2010,4,1,6448.8
2011,4,1,7921.57
2012,4,1,14012.9
2013,4,1,16239.6
2014,4,1,13397.1
2015,4,1,8329.98
2016,4,1,11727.2
2017,4,1,10914.3
2018,4,1,6689.02
2019,4,1,10789.9
2020,4,1,10104.9
2021,4,1,7677.16
2022,4,1,7133.3
1954,5,1,0
1955,5,1,0
1956,5,1,0
1957,5,1,0
1958,5,1,0
1959,5,1,0
1960,5,1,0
1961,5,1,0
1962,5,1,0
1963,5,1,0
1964,5,1,0
1965,5,1,0
1966,5,1,0
1967,5,1,0
1968,5,1,0
1969,5,1,0
1970,5,1,0
1971,5,1,0
1972,5,1,0
1973,5,1,0
1974,5,1,0
1975,5,1,0
1976,5,1,0
1977,5,1,0
1978,5,1,0
1979,5,1,0
1980,5,1,0
1981,5,1,0
1982,5,1,0
1983,5,1,0
1984,5,1,0
1985,5,1,0
1986,5,1,0
1987,5,1,0
1988,5,1,0
1989,5,1,0
1990,5,1,0
1991,5,1,0
1992,5,1,25.8026
1993,5,1,2.27462
1994,5,1,5.19345
1995,5,1,7.69231
1996,5,1,28.471
1997,5,1,94.3118
1998,5,1,84.0612
1999,5,1,59.2548
2000,5,1,107.852
2001,5,1,50.9777
2002,5,1,281.459
2003,5,1,763.064
2004,5,1,1045.21
2005,5,1,1611.59
2006,5,1,839.513
2007,5,1,1467.89
2008,5,1,1239.47
2009,5,1,1835.52
2010,5,1,1835.48
2011,5,1,1454.67
2012,5,1,3566.96
2013,5,1,2613.74
2014,5,1,4091.71
2015,5,1,3461.73
2016,5,1,3160.66
2017,5,1,1572.54
2018,5,1,1569.39
2019,5,1,5207.65
2020,5,1,1949.13
2021,5,1,1098.38
2022,5,1,2116.48
1954,6,1,0
1955,6,1,0
1956,6,1,0
1957,6,1,0
1958,6,1,0
1959,6,1,0
1960,6,1,0
1961,6,1,0
1962,6,1,0
1963,6,1,0
1964,6,1,0
1965,6,1,0
1966,6,1,0
1967,6,1,0
1968,6,1,0
1969,6,1,0
1970,6,1,0
1971,6,1,0
1972,6,1,0
1973,6,1,0
1974,6,1,0
1975,6,1,0
1976,6,1,0
1977,6,1,0
1978,6,1,0
1979,6,1,0
1980,6,1,0
1981,6,1,0
1982,6,1,101.069
1983,6,1,157.476
1984,6,1,261.277
1985,6,1,152.525
1986,6,1,331.031
1987,6,1,391.999
1988,6,1,730.634
1989,6,1,805.526
1990,6,1,1245.17
1991,6,1,1406.7
1992,6,1,1033.71
1993,6,1,2144.59
1994,6,1,2409.73
1995,6,1,5144.52
1996,6,1,5522.22
1997,6,1,9175.15
1998,6,1,13872.2
1999,6,1,11752.5
2000,6,1,12778.8
2001,6,1,21615.5
2002,6,1,28143.4
2003,6,1,18913.4
2004,6,1,21503
2005,6,1,22848.9
2006,6,1,28976.6
2007,6,1,28436.7
2008,6,1,23708.7
2009,6,1,26839.3
2010,6,1,32471.4
2011,6,1,21174.5
2012,6,1,23156.2
2013,6,1,21658.1
2014,6,1,27546.1
2015,6,1,31232.2
2016,6,1,24756.1
2017,6,1,20090.8
2018,6,1,20083.5
2019,6,1,20097.6
2020,6,1,17171.5
2021,6,1,14457.3
2022,6,1,20517.3
1954,7,1,0
1955,7,1,0
1956,7,1,0
1957,7,1,0
1958,7,1,0
1959,7,1,0
1960,7,1,0
1961,7,1,0
1962,7,1,0
1963,7,1,0
1964,7,1,0
1965,7,1,0
1966,7,1,0
1967,7,1,0
1968,7,1,0
1969,7,1,0
1970,7,1,0
1971,7,1,0
1972,7,1,0
1973,7,1,0
1974,7,1,0
1975,7,1,0
1976,7,1,0
1977,7,1,0
1978,7,1,0
1979,7,1,0
1980,7,1,0
1981,7,1,0
1982,7,1,0
1983,7,1,0
1984,7,1,0
1985,7,1,0
1986,7,1,0
1987,7,1,12.6353
1988,7,1,48.8966
1989,7,1,25.474
1990,7,1,43.836
1991,7,1,48.9512
1992,7,1,22.8809
1993,7,1,16.93
1994,7,1,125.371
1995,7,1,163.497
1996,7,1,189.483
1997,7,1,61.7733
1998,7,1,120.883
1999,7,1,151.179
2000,7,1,139.495
2001,7,1,190.17
2002,7,1,247.726
2003,7,1,144.706
2004,7,1,102.708
2005,7,1,180.73
2006,7,1,1528.83
2007,7,1,1659.75
2008,7,1,309.451
2009,7,1,824.744
2010,7,1,656.18
2011,7,1,253.732
2012,7,1,192.709
2013,7,1,311.929
2014,7,1,261.589
2015,7,1,265.409
2016,7,1,316.507
2017,7,1,238.444
2018,7,1,213.471
2019,7,1,208.878
2020,7,1,315.886
2021,7,1,464.473
2022,7,1,242.039
1954,8,1,256.3
1955,8,1,3753.51
1956,8,1,1835.47
1957,8,1,1422.73
1958,8,1,5790.87
1959,8,1,6981.66
1960,8,1,7006.82
1961,8,1,6629.6
1962,8,1,5447.49
1963,8,1,5601.41
1964,8,1,4733.5
1965,8,1,6161.17
1966,8,1,14466
1967,8,1,15876.1
1968,8,1,8609.12
1969,8,1,7090.3
1970,8,1,10703.9
1971,8,1,15058.3
1972,8,1,13244
1973,8,1,19626.4
1974,8,1,21983.7
1975,8,1,9460.42
1976,8,1,7870.91
1977,8,1,14593.5
1978,8,1,17659.7
1979,8,1,13949
1980,8,1,16703
1981,8,1,15323.3
1982,8,1,12510.3
1983,8,1,13479.3
1984,8,1,11206.9
1985,8,1,14161.3
1986,8,1,16426
1987,8,1,10622.9
1988,8,1,14599
1989,8,1,11547.3
1990,8,1,7387.73
1991,8,1,11730.9
1992,8,1,20761.1
1993,8,1,19831.4
1994,8,1,16856.9
1995,8,1,7062.29
1996,8,1,11058.3
1997,8,1,12444.8
1998,8,1,12804.1
1999,8,1,10171.6
2000,8,1,9384.43
2001,8,1,11643.7
2002,8,1,17110.8
2003,8,1,13707.5
2004,8,1,18563.7
2005,8,1,20204.6
2006,8,1,10612.9
2007,8,1,8548.17
2008,8,1,6090.86
2009,8,1,9899.17
2010,8,1,15732.3
2011,8,1,9232.18
2012,8,1,8928.73
2013,8,1,12103.9
2014,8,1,15312.6
2015,8,1,15528.9
2016,8,1,14493.9
2017,8,1,17934
2018,8,1,16953.1
2019,8,1,13034.1
2020,8,1,17000.6
2021,8,1,9999.05
2022,8,1,11325.4
1954,9,1,0
1955,9,1,0
1956,9,1,0
1957,9,1,0
1958,9,1,0
1959,9,1,0
1960,9,1,0
1961,9,1,0
1962,9,1,0
1963,9,1,0
1964,9,1,0
1965,9,1,0
1966,9,1,0
1967,9,1,0
1968,9,1,0
1969,9,1,0
1970,9,1,0
1971,9,1,0
1972,9,1,0
1973,9,1,0
1974,9,1,0
1975,9,1,0
1976,9,1,0
1977,9,1,0
1978,9,1,0
1979,9,1,0
1980,9,1,0
1981,9,1,0
1982,9,1,0
1983,9,1,0
1984,9,1,0.523249
1985,9,1,0
1986,9,1,129.68
1987,9,1,149.517
1988,9,1,36.8111
1989,9,1,4.53235
1990,9,1,65.6639
1991,9,1,50.0612
1992,9,1,60.5672
1993,9,1,6.05208
1994,9,1,29.2042
1995,9,1,25.0684
1996,9,1,3.05732
1997,9,1,119.844
1998,9,1,43.8661
1999,9,1,73.0608
2000,9,1,19.7238
2001,9,1,235.647
2002,9,1,284.963
2003,9,1,813.896
2004,9,1,563.038
2005,9,1,645.957
2006,9,1,993.89
2007,9,1,640.65
2008,9,1,316.618
2009,9,1,1228.56
2010,9,1,3462.81
2011,9,1,1249.44
2012,9,1,1478.37
2013,9,1,693.425
2014,9,1,1120.36
2015,9,1,1762.69
2016,9,1,1137.03
2017,9,1,1331.73
2018,9,1,1341.73
2019,9,1,846.602
2020,9,1,3279.51
2021,9,1,1584.82
2022,9,1,416.837
1954,10,1,0
1955,10,1,0
1956,10,1,0
1957,10,1,0
1958,10,1,0
1959,10,1,0
1960,10,1,0
1961,10,1,0
1962,10,1,0
1963,10,1,0
1964,10,1,0
1965,10,1,0
1966,10,1,0
1967,10,1,0
1968,10,1,0
1969,10,1,0
1970,10,1,0
1971,10,1,0
1972,10,1,0
1973,10,1,0
1974,10,1,0
1975,10,1,0
1976,10,1,0
1977,10,1,0
1978,10,1,0
1979,10,1,0
1980,10,1,0
1981,10,1,0
1982,10,1,0
1983,10,1,0
1984,10,1,0
1985,10,1,0.895355
1986,10,1,0.175252
1987,10,1,198.901
1988,10,1,157.074
1989,10,1,1136.46
1990,10,1,469.205
1991,10,1,426.415
1992,10,1,640.218
1993,10,1,939.396
1994,10,1,1365.88
1995,10,1,1610.32
1996,10,1,2185.83
1997,10,1,1574
1998,10,1,3436.37
1999,10,1,3600.35
2000,10,1,2864.25
2001,10,1,4362.98
2002,10,1,4446.79
2003,10,1,4981.9
2004,10,1,3002.48
2005,10,1,1689.81
2006,10,1,1479.28
2007,10,1,1524.59
2008,10,1,1264.2
2009,10,1,1364.55
2010,10,1,956.313
2011,10,1,1125.73
2012,10,1,815.452
2013,10,1,929.951
2014,10,1,932.621
2015,10,1,960.135
2016,10,1,1195.56
2017,10,1,1013.15
2018,10,1,1063.8
2019,10,1,810.595
2020,10,1,979.953
2021,10,1,764.198
2022,10,1,1042.4
1954,11,1,0
1955,11,1,0
1956,11,1,0
1957,11,1,0
1958,11,1,0
1959,11,1,0
1960,11,1,0
1961,11,1,0
1962,11,1,0
1963,11,1,0
1964,11,1,0
1965,11,1,0
1966,11,1,0
1967,11,1,0
1968,11,1,0
1969,11,1,0
1970,11,1,0
1971,11,1,0
1972,11,1,0
1973,11,1,0
1974,11,1,0
1975,11,1,0
1976,11,1,0
1977,11,1,0
1978,11,1,0
1979,11,1,0
1980,11,1,0
1981,11,1,0
1982,11,1,23.562
1983,11,1,734.209
1984,11,1,2722.01
1985,11,1,3296.11
1986,11,1,1852.76
1987,11,1,1324.98
1988,11,1,348.779
1989,11,1,3992.3
1990,11,1,619.043
1991,11,1,2300.88
1992,11,1,2895.85
1993,11,1,3008.25
1994,11,1,4591.18
1995,11,1,5387.16
1996,11,1,5111.27
1997,11,1,2914.92
1998,11,1,4508.58
1999,11,1,1766.24
2000,11,1,3378.6
2001,11,1,2915.09
2002,11,1,2877.6
2003,11,1,3617.45
2004,11,1,3313.43
2005,11,1,2905.54
2006,11,1,2197.71
2007,11,1,1720.14
2008,11,1,3221.52
2009,11,1,1935.53
2010,11,1,1770.7
2011,11,1,2718.85
2012,11,1,2814.56
2013,11,1,2641.83
2014,11,1,2097.36
2015,11,1,2419.34
2016,11,1,1899.9
2017,11,1,1773.36
2018,11,1,2452.79
2019,11,1,2237.97
2020,11,1,2837.47
2021,11,1,3410.76
2022,11,1,4131.62
1954,12,1,0
1955,12,1,0
1956,12,1,0
1957,12,1,0
1958,12,1,0
1959,12,1,0
1960,12,1,0
1961,12,1,0
1962,12,1,0
1963,12,1,0
1964,12,1,0
1965,12,1,0
1966,12,1,0
1967,12,1,0
1968,12,1,0
1969,12,1,0
1970,12,1,0
1971,12,1,0
1972,12,1,0
1973,12,1,0
1974,12,1,0
1975,12,1,0
1976,12,1,0
1977,12,1,0
1978,12,1,0
1979,12,1,0
1980,12,1,0
1981,12,1,0
1982,12,1,0
1983,12,1,0
1984,12,1,0
1985,12,1,0
1986,12,1,0
1987,12,1,850.686
1988,12,1,3251.81
1989,12,1,3018.66
1990,12,1,4516.46
1991,12,1,5098.66
1992,12,1,3353.81
1993,12,1,1032.23
1994,12,1,2044.41
1995,12,1,2155.14
1996,12,1,2223.32
1997,12,1,1749.54
1998,12,1,1627.06
1999,12,1,1319.12
2000,12,1,2389.98
2001,12,1,2147.61
2002,12,1,1195.03
2003,12,1,1384.93
2004,12,1,901.619
2005,12,1,540.766
2006,12,1,613.845
2007,12,1,0.978
2008,12,1,0.127
2009,12,1,0.127
2010,12,1,0
2011,12,1,0.187
2012,12,1,0.21
2013,12,1,390.436
2014,12,1,621.241
2015,12,1,156.001
2016,12,1,300.066
2017,12,1,550.882
2018,12,1,408.998
2019,12,1,729.249
2020,12,1,1636.94
2021,12,1,1034.2
2022,12,1,1261.75
1954,13,1,0
1955,13,1,0
1956,13,1,0
1957,13,1,0
1958,13,1,0
1959,13,1,0
1960,13,1,0
1961,13,1,0
1962,13,1,0
1963,13,1,0
1964,13,1,0
1965,13,1,0
1966,13,1,0
1967,13,1,0
1968,13,1,0
1969,13,1,0
1970,13,1,0
1971,13,1,0
1972,13,1,0
1973,13,1,0
1974,13,1,0
1975,13,1,0
1976,13,1,0
1977,13,1,0
1978,13,1,0
1979,13,1,0
1980,13,1,0
1981,13,1,0
1982,13,1,0
1983,13,1,0
1984,13,1,1576.07
1985,13,1,1227.82
1986,13,1,2566.52
1987,13,1,770.484
1988,13,1,1760.96
1989,13,1,25448.7
1990,13,1,8328.75
1991,13,1,0
1992,13,1,0
1993,13,1,0
1994,13,1,0
1995,13,1,0
1996,13,1,0
1997,13,1,0
1998,13,1,0
1999,13,1,0
2000,13,1,0
2001,13,1,0
2002,13,1,0
2003,13,1,0
2004,13,1,0
2005,13,1,0
2006,13,1,0
2007,13,1,0
2008,13,1,0
2009,13,1,0
2010,13,1,0
2011,13,1,0
2012,13,1,0
2013,13,1,0
2014,13,1,0
2015,13,1,0
2016,13,1,0
2017,13,1,0
2018,13,1,0
2019,13,1,0
2020,13,1,0
2021,13,1,0
2022,13,1,0
1954,14,2,0
1955,14,2,0
1956,14,2,0
1957,14,2,12.7593
1958,14,2,148.087
1959,14,2,430.88
1960,14,2,610.61
1961,14,2,645.967
1962,14,2,1986.17
1963,14,2,4901.54
1964,14,2,6395.83
1965,14,2,2699.9
1966,14,2,3155.25
1967,14,2,5999.08
1968,14,2,5990.43
1969,14,2,2991.55
1970,14,2,2889.46
1971,14,2,5652.69
1972,14,2,10289.6
1973,14,2,5770.37
1974,14,2,2557.39
1975,14,2,2625
1976,14,2,2018.06
1977,14,2,1911.45
1978,14,2,5796.94
1979,14,2,2534.26
1980,14,2,2644.96
1981,14,2,3134.6
1982,14,2,3488.46
1983,14,2,2472.59
1984,14,2,1189.95
1985,14,2,1594.34
1986,14,2,3045.77
1987,14,2,4228.62
1988,14,2,3752.09
1989,14,2,4382.08
1990,14,2,1704.33
1991,14,2,2922.68
1992,14,2,4315.62
1993,14,2,2275.8
1994,14,2,2823.78
1995,14,2,1849.54
1996,14,2,2055.97
1997,14,2,2766.39
1998,14,2,5983.45
1999,14,2,2961.21
2000,14,2,5202.51
2001,14,2,4354.32
2002,14,2,6896.95
2003,14,2,7024.99
2004,14,2,2753.82
2005,14,2,5206.18
2006,14,2,4171.24
2007,14,2,2377.22
2008,14,2,3872.7
2009,14,2,3230.17
2010,14,2,5177.6
2011,14,2,8283.25
2012,14,2,8855.6
2013,14,2,9365.8
2014,14,2,12746.8
2015,14,2,18635.3
2016,14,2,10095.4
2017,14,2,10771.8
2018,14,2,15382.8
2019,14,2,9102.08
2020,14,2,9127.02
2021,14,2,16329
2022,14,2,10914.6
1954,15,2,0
1955,15,2,0
1956,15,2,0
1957,15,2,0
1958,15,2,0
1959,15,2,0
1960,15,2,0
1961,15,2,13.97
1962,15,2,39.8658
1963,15,2,414.416
1964,15,2,421.047
1965,15,2,383.109
1966,15,2,683.151
1967,15,2,418.721
1968,15,2,289.336
1969,15,2,590.926
1970,15,2,615.234
1971,15,2,555.363
1972,15,2,217.524
1973,15,2,241.01
1974,15,2,225.376
1975,15,2,146.708
1976,15,2,201.631
1977,15,2,686.804
1978,15,2,809.438
1979,15,2,305.818
1980,15,2,304.939
1981,15,2,386.753
1982,15,2,142.443
1983,15,2,388.195
1984,15,2,563.341
1985,15,2,304.57
1986,15,2,437.451
1987,15,2,556.32
1988,15,2,506.239
1989,15,2,322.384
1990,15,2,768.808
1991,15,2,1069.2
1992,15,2,690.232
1993,15,2,1306.86
1994,15,2,1581.79
1995,15,2,1011.41
1996,15,2,591.784
1997,15,2,373.945
1998,15,2,272.403
1999,15,2,592.875
2000,15,2,433.81
2001,15,2,816.011
2002,15,2,1703.16
2003,15,2,784.408
2004,15,2,2253.57
2005,15,2,2609.59
2006,15,2,2212.88
2007,15,2,1158.54
2008,15,2,1018.42
2009,15,2,1168.1
2010,15,2,935.775
2011,15,2,1243.01
2012,15,2,1155.08
2013,15,2,1512.92
2014,15,2,1112.38
2015,15,2,1970.69
2016,15,2,954.469
2017,15,2,1159.65
2018,15,2,2027.46
2019,15,2,1194.18
2020,15,2,1082.49
2021,15,2,3185.8
2022,15,2,173.668
1954,16,2,0
1955,16,2,0
1956,16,2,0
1957,16,2,0
1958,16,2,0
1959,16,2,0
1960,16,2,0
1961,16,2,0
1962,16,2,0
1963,16,2,580.771
1964,16,2,111.459
1965,16,2,8.7092
1966,16,2,40.3367
1967,16,2,157.89
1968,16,2,203.949
1969,16,2,101.078
1970,16,2,202.712
1971,16,2,152.943
1972,16,2,175.395
1973,16,2,795.086
1974,16,2,698.774
1975,16,2,27.5914
1976,16,2,1.27564
1977,16,2,5.12943
1978,16,2,150.323
1979,16,2,57.1563
1980,16,2,12.4148
1981,16,2,140.846
1982,16,2,275.812
1983,16,2,17.8403
1984,16,2,257.158
1985,16,2,11.4799
1986,16,2,4.05769
1987,16,2,941.624
1988,16,2,264.916
1989,16,2,45.5096
1990,16,2,3.06694
1991,16,2,1.60996
1992,16,2,198.524
1993,16,2,245.932
1994,16,2,424.096
1995,16,2,20.1164
1996,16,2,184.655
1997,16,2,63.4384
1998,16,2,111.109
1999,16,2,173.773
2000,16,2,168.021
2001,16,2,154.848
2002,16,2,1737.33
2003,16,2,2197.8
2004,16,2,1902.63
2005,16,2,2795.29
2006,16,2,1678.45
2007,16,2,242.153
2008,16,2,992.494
2009,16,2,1008.91
2010,16,2,589.326
2011,16,2,1007.54
2012,16,2,2641.62
2013,16,2,3251.48
2014,16,2,1905.45
2015,16,2,4628.77
2016,16,2,7327.18
2017,16,2,5328.84
2018,16,2,1970.49
2019,16,2,684.646
2020,16,2,2479.49
2021,16,2,4867.13
2022,16,2,309.029
1954,17,2,0
1955,17,2,0
1956,17,2,0
1957,17,2,0
1958,17,2,0
1959,17,2,0
1960,17,2,0
1961,17,2,0
1962,17,2,0
1963,17,2,0
1964,17,2,0
1965,17,2,0
1966,17,2,0
1967,17,2,0
1968,17,2,0
1969,17,2,0
1970,17,2,0
1971,17,2,0
1972,17,2,0
1973,17,2,0
1974,17,2,0
1975,17,2,0
1976,17,2,0
1977,17,2,0
1978,17,2,0
1979,17,2,0
1980,17,2,0
1981,17,2,0
1982,17,2,0
1983,17,2,0
1984,17,2,0
1985,17,2,0
1986,17,2,0
1987,17,2,0.465
1988,17,2,0
1989,17,2,0
1990,17,2,0
1991,17,2,1.791
1992,17,2,152.901
1993,17,2,0
1994,17,2,3.482
1995,17,2,0
1996,17,2,0
1997,17,2,50.524
1998,17,2,1.381
1999,17,2,49.534
2000,17,2,0
2001,17,2,0.701
2002,17,2,124.839
2003,17,2,177.626
2004,17,2,0.898
2005,17,2,0
2006,17,2,16.359
2007,17,2,0
2008,17,2,0
2009,17,2,0
2010,17,2,0
2011,17,2,0
2012,17,2,0
2013,17,2,0
2014,17,2,0
2015,17,2,0
2016,17,2,0
2017,17,2,0
2018,17,2,0
2019,17,2,0
2020,17,2,0
2021,17,2,0
2022,17,2,0
1954,18,1,1.02816e-05
1955,18,1,9.67616e-06
1956,18,1,9.38129e-06
1957,18,1,9.11365e-06
1958,18,1,8.85987e-06
1959,18,1,8.55165e-06
1960,18,1,8.30842e-06
1961,18,1,8.03043e-06
1962,18,1,7.55168e-06
1963,18,1,6.81745e-06
1964,18,1,5.99087e-06
1965,18,1,5.08009e-06
1966,18,1,4.23275e-06
1967,18,1,3.76578e-06
1968,18,1,3.58959e-06
1969,18,1,3.39036e-06
1970,18,1,2.95076e-06
1971,18,1,2.46086e-06
1972,18,1,2.09548e-06
1973,18,1,1.72534e-06
1974,18,1,1.44024e-06
1975,18,1,1.35574e-06
1976,18,1,1.35195e-06
1977,18,1,1.28118e-06
1978,18,1,1.40242e-06
1979,18,1,1.66504e-06
1980,18,1,1.81573e-06
1981,18,1,1.67579e-06
1982,18,1,1.44956e-06
1983,18,1,1.31725e-06
1984,18,1,1.28566e-06
1985,18,1,1.38114e-06
1986,18,1,1.4566e-06
1987,18,1,1.56257e-06
1988,18,1,1.49768e-06
1989,18,1,1.48042e-06
1990,18,1,1.48951e-06
1991,18,1,1.38949e-06
1992,18,1,1.32727e-06
1993,18,1,1.40835e-06
1994,18,1,1.51959e-06
1995,18,1,1.62822e-06
1996,18,1,1.65144e-06
1997,18,1,1.70469e-06
1998,18,1,1.62374e-06
1999,18,1,1.6888e-06
2000,18,1,1.77657e-06
2001,18,1,1.64237e-06
2002,18,1,1.24227e-06
2003,18,1,1.00556e-06
2004,18,1,9.93328e-07
2005,18,1,9.40386e-07
2006,18,1,1.01486e-06
2007,18,1,1.13861e-06
2008,18,1,1.24564e-06
2009,18,1,1.16984e-06
2010,18,1,8.51539e-07
2011,18,1,8.98086e-07
2012,18,1,1.01588e-06
2013,18,1,1.01114e-06
2014,18,1,1.01348e-06
2015,18,1,1.08713e-06
2016,18,1,1.15985e-06
2017,18,1,1.12641e-06
2018,18,1,9.79251e-07
2019,18,1,9.0214e-07
2020,18,1,8.52508e-07
2021,18,1,8.43854e-07
2022,18,1,8.1635e-07
1954,19,1,0
1955,19,1,0
1956,19,1,0
1957,19,1,0
1958,19,1,0
1959,19,1,0
1960,19,1,0
1961,19,1,0
1962,19,1,0
1963,19,1,0
1964,19,1,0
1965,19,1,0
1966,19,1,0
1967,19,1,0
1968,19,1,0
1969,19,1,0
1970,19,1,0
1971,19,1,0
1972,19,1,0
1973,19,1,0
1974,19,1,0
1975,19,1,0
