year,fishery,area,t
1954,1,1,170.999
1955,1,1,640.644
1956,1,1,1281.27
1957,1,1,1582.15
1958,1,1,1091.97
1959,1,1,352.633
1960,1,1,402.697
1961,1,1,1746.44
1962,1,1,913.05
1963,1,1,166.821
1964,1,1,380.192
1965,1,1,470.866
1966,1,1,824.387
1967,1,1,884.293
1968,1,1,588.568
1969,1,1,2020.41
1970,1,1,2542.08
1971,1,1,1994.01
1972,1,1,790.792
1973,1,1,1020.9
1974,1,1,2266.72
1975,1,1,363.077
1976,1,1,877.188
1977,1,1,1278.83
1978,1,1,1329.33
1979,1,1,825.915
1980,1,1,1819.6
1981,1,1,2458.14
1982,1,1,2792.16
1983,1,1,889.343
1984,1,1,623.239
1985,1,1,359.832
1986,1,1,1097.83
1987,1,1,283.89
1988,1,1,833.349
1989,1,1,558.094
1990,1,1,215.832
1991,1,1,234.094
1992,1,1,288.562
1993,1,1,293.375
1994,1,1,289.627
1995,1,1,671.895
1996,1,1,540.615
1997,1,1,562.21
1998,1,1,1328.88
1999,1,1,926.012
2000,1,1,1477.62
2001,1,1,949.465
2002,1,1,1640.71
2003,1,1,2479.27
2004,1,1,1402.01
2005,1,1,3348.65
2006,1,1,2005.08
2007,1,1,1918.09
2008,1,1,1459.35
2009,1,1,2701.87
2010,1,1,1793.1
2011,1,1,1667.28
2012,1,1,3696.49
2013,1,1,4583.99
2014,1,1,1247.38
2015,1,1,1613.97
2016,1,1,2279.07
2017,1,1,3646.07
2018,1,1,2343.12
2019,1,1,1298.32
2020,1,1,822
2021,1,1,1067.03
2022,1,1,1228.56
1954,2,1,41.7905
1955,2,1,818.284
1956,2,1,534.867
1957,2,1,1524.98
1958,2,1,1902.34
1959,2,1,2896
1960,2,1,8337.73
1961,2,1,4300.7
1962,2,1,6639.59
1963,2,1,4951.19
1964,2,1,6489.12
1965,2,1,8705.87
1966,2,1,13568.7
1967,2,1,12846.8
1968,2,1,12480.4
1969,2,1,11477.6
1970,2,1,10269.3
1971,2,1,6377.06
1972,2,1,7571.23
1973,2,1,7131.32
1974,2,1,3654.85
1975,2,1,1377.69
1976,2,1,977.83
1977,2,1,3174.99
1978,2,1,3045.35
1979,2,1,2501.63
1980,2,1,5110.71
1981,2,1,3207.13
1982,2,1,2371.34
1983,2,1,2016.96
1984,2,1,1699.02
1985,2,1,1569.63
1986,2,1,2674.44
1987,2,1,2820.28
1988,2,1,3805.91
1989,2,1,699.768
1990,2,1,1837.25
1991,2,1,1570.15
1992,2,1,3058.89
1993,2,1,954.915
1994,2,1,1662.54
1995,2,1,2918.51
1996,2,1,1229.38
1997,2,1,1282.62
1998,2,1,5330.4
1999,2,1,722.224
2000,2,1,1190.5
2001,2,1,3012.98
2002,2,1,4399.49
2003,2,1,4859.83
2004,2,1,3730.64
2005,2,1,3561.26
2006,2,1,3022.14
2007,2,1,2700.07
2008,2,1,1550.14
2009,2,1,1828.76
2010,2,1,3692.9
2011,2,1,2047.03
2012,2,1,3215.96
2013,2,1,4881.07
2014,2,1,2437.99
2015,2,1,6724.66
2016,2,1,9198.59
2017,2,1,2714.29
2018,2,1,4248.6
2019,2,1,7776.23
2020,2,1,5020.96
2021,2,1,3459.33
2022,2,1,8694.7
1954,3,1,7516.93
1955,3,1,5082.33
1956,3,1,2765.13
1957,3,1,1775.61
1958,3,1,3333.76
1959,3,1,6260.11
1960,3,1,3818.46
1961,3,1,7468.69
1962,3,1,10499.6
1963,3,1,1435.47
1964,3,1,4443.38
1965,3,1,2357.56
1966,3,1,4996.58
1967,3,1,4720.39
1968,3,1,4975.4
1969,3,1,3904.71
1970,3,1,3650.28
1971,3,1,7347.85
1972,3,1,5421.42
1973,3,1,7447.49
1974,3,1,5963.8
1975,3,1,3348.15
1976,3,1,2461.98
1977,3,1,4197.31
1978,3,1,7825.86
1979,3,1,6167.02
1980,3,1,5641.35
1981,3,1,5873.04
1982,3,1,5306.97
1983,3,1,4194.6
1984,3,1,4153.85
1985,3,1,3047.03
