age,length,weight,maturity,natmort
 1, 45.5, 2.0,0.001,0.679
 2, 55.8, 3.6,0.001,0.554
 3, 65.3, 5.9,0.006,0.473
 4, 77.0, 9.8,0.266,0.401
 5, 88.0,14.6,0.720,0.351
 6, 92.3,16.9,0.943,0.335
 7, 95.3,18.7,0.999,0.324
 8, 97.4,20.0,0.997,0.317
 9, 98.9,21.0,0.977,0.312
10,100.0,21.7,0.957,0.309
11,100.8,22.2,0.940,0.307
12,101.4,22.6,0.926,0.305
